index,rating,city,province,superhost,price,house_type,link,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Suitable for events,Crib,Pack ’n play/Travel crib,Window guards,Heating,Smoke alarm,Carbon monoxide alarm,Microwave,Cooking basics,Private entrance,Free street parking,Pets allowed,Smoking allowed,Long term stays allowed,Security cameras on property,Iron,Hot water,Breakfast,Essentials,Fire extinguisher,Lock on bedroom door,First aid kit,Dishes and silverware,Hot tub,Private living room,Host greets you,Fire pit,Outdoor dining area,Self check-in,Lockbox,Outdoor shower,Outdoor furniture,Cleaning before checkout,Bidet,Safe,Mini fridge,Free driveway parking on premises,Luggage dropoff allowed,Elevator,Trash compactor,Ceiling fan,Freezer,Laundromat nearby,Smart lock,Hot water kettle,Dining table,Cleaning products,Shower gel,Drying rack for clothing,Ethernet connection,Rice maker,Barbecue utensils,Bread maker,EV charger,Mosquito net,High chair,Outlet covers,Table corner guards,Central heating,Private hot tub,Paid street parking off premises,Single level home,Bathtub,Blender,Books and reading material,Portable heater,Building staff,Baking sheet,Waterfront,Wine glasses,Record player,Lake access,Radiant heating,Free resort access,Keypad,Portable fans,Bikes,Resort access,Toaster,Shared hot tub,Sauna,Children’s dinnerware,Window AC unit,Piano,Changing table,Fireplace guards,Board games,Ping pong table,Boat slip,Paid resort access,Hammock,Beach essentials,Private sauna,Kayak,Shared sauna,Bed_num,bedroom_num,tv,coffee,shampoo,soap,conditioner,dedicated workspace,stove,gym,indoor fireplace,kitchen,wifi,clothing storage,refrigerator,exercise equipment,paid parking,free parking,children’s books and toys,oven,washer,sound system,bbq grill,dryer,baby,view,free residential garage,air conditioning,game console,guest_num,bath_num,id,pool,backyard,free carport,ski-in,beach access,balcony
0,0.0,buraydah,AlQassim,0.0,1100,Earth house,https://www.airbnb.com/rooms/44085675?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,10,3.0,0.0BuraydahAlQassimFalse1100.0Earth house,0,1,0,0,0,1
1,0.0,buraydah,AlQassim,0.0,2200,Entire chalet,https://www.airbnb.com/rooms/19854001?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4,4.0,0.0BuraydahAlQassimFalse2200.0Entire chalet,1,0,0,0,0,0
2,0.0,buraydah,AlQassim,0.0,400,Shared room in chalet,https://www.airbnb.com/rooms/37763947?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,4.5,0.0BuraydahAlQassimFalse400.0Shared room in chalet,1,0,0,0,0,0
3,0.0,buraydah,AlQassim,0.0,550,Private room in resort,https://www.airbnb.com/rooms/44031535?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,5,2.0,0.0BuraydahAlQassimFalse550.0Private room in resort,1,0,0,0,0,0
4,0.0,buraydah,AlQassim,0.0,2500,Entire villa,https://www.airbnb.com/rooms/35754885?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,3.0,0.0BuraydahAlQassimFalse2500.0Entire villa,1,0,0,0,0,0
5,0.0,buraydah,AlQassim,0.0,500,Earth house,https://www.airbnb.com/rooms/35007119?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,6,2.0,0.0BuraydahAlQassimFalse500.0Earth house,1,0,0,0,0,0
6,0.0,buraydah,AlQassim,0.0,714,Entire chalet,https://www.airbnb.com/rooms/37666695?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3.0,0.0BuraydahAlQassimFalse714.0Entire chalet,1,0,0,0,0,0
7,0.0,buraydah,AlQassim,0.0,2700,Farm stay,https://www.airbnb.com/rooms/49412983?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,6.0,0.0BuraydahAlQassimFalse2700.0Farm stay,1,0,0,0,0,0
8,0.0,buraydah,AlQassim,0.0,700,Entire chalet,https://www.airbnb.com/rooms/26170671?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,3.0,0.0BuraydahAlQassimFalse700.0Entire chalet,1,0,0,0,0,0
9,0.0,buraydah,AlQassim,0.0,900,Entire chalet,https://www.airbnb.com/rooms/27650580?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f2d5336-4a6f-4f81-902a-b7933081484f,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,3.0,0.0BuraydahAlQassimFalse900.0Entire chalet,1,0,0,0,0,0
